17:51:26.466 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
17:51:26.508 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
17:51:26.508 [main] WARN  org.hibernate.orm.deprecation - HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
17:51:26.925 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
17:51:26.956 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
17:51:27.092 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
17:51:27.266 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-0.0.0.0-8081"]
17:51:27.277 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path ''
17:51:27.281 [main] INFO  c.C.C.ClothingappApplication - Started ClothingappApplication in 2.099 seconds (process running for 2.573)
17:51:39.216 [http-nio-0.0.0.0-8081-exec-3] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
17:51:39.216 [http-nio-0.0.0.0-8081-exec-3] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
17:51:39.217 [http-nio-0.0.0.0-8081-exec-3] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
17:51:39.234 [http-nio-0.0.0.0-8081-exec-3] WARN  o.s.w.s.m.s.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'GET' is not supported]
17:51:51.655 [http-nio-0.0.0.0-8081-exec-2] INFO  c.C.C.controller.UserController - Successfully
17:52:03.160 [http-nio-0.0.0.0-8081-exec-5] INFO  c.C.C.controller.UserController - Successfully
17:52:13.330 [http-nio-0.0.0.0-8081-exec-6] INFO  c.C.C.controller.UserController - Successfully
17:54:15.313 [http-nio-0.0.0.0-8081-exec-9] INFO  c.C.C.controller.UserController - Successfully
17:54:27.657 [http-nio-0.0.0.0-8081-exec-10] INFO  c.C.C.controller.UserController - Successfully
17:55:20.437 [http-nio-0.0.0.0-8081-exec-1] INFO  c.C.C.controller.UserController - Successfully
18:08:03.716 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=7m7s158ms409µs400ns).
18:23:03.211 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
